Number of Variables;4;
Variables:;
0;;collection;
1;;predicate;
2;;result;
3;;it;

Number of Block duas;14;
Line Duas for method; filter;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;756;757;757;0;collection;
2;756;757;765;0;collection;
3;756;;758;0;collection;
4;756;757;758;1;predicate;
5;756;757;765;1;predicate;
6;756;759;760;1;predicate;
7;756;759;758;1;predicate;
8;756;;765;2;result;
9;758;758;759;3;it;
10;758;758;765;3;it;
11;758;759;760;3;it;
12;758;759;758;3;it;
13;758;;760;3;it;
14;761;;765;2;result;

Block Duas for method; filter;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;collection;
;756;757;757;0;collection;
2;0;0;1;0;collection;
;756;757;765;0;collection;
3;0;;3;0;collection;
;756;;758;0;collection;
4;0;2;3;1;predicate;
;756;757;758;1;predicate;
5;0;2;1;1;predicate;
;756;757;765;1;predicate;
6;0;5;6;1;predicate;
;756;759;760;1;predicate;
7;0;5;4;1;predicate;
;756;759;758;1;predicate;
8;0;;1;2;result;
;756;;765;2;result;
9;3;4;5;3;it;
;758;758;759;3;it;
10;3;4;1;3;it;
;758;758;765;3;it;
11;3;5;6;3;it;
;758;759;760;3;it;
12;3;5;4;3;it;
;758;759;758;3;it;
13;3;;6;3;it;
;758;;760;3;it;
14;6;;1;2;result;
;761;;765;2;result;
