Number of Variables;9;
Variables:;
0;;this;
1;;value;
2;;this.node;
3;;string;
4;;children;
5;;i;
6;;valueNode;
7;;i;
8;;string;

Number of Block duas;58;
Line Duas for method; setValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;325;325;325;0;this;
2;325;325;327;0;this;
3;325;;332;0;this;
4;325;;329;0;this;
5;325;325;327;0;this;
6;325;325;336;0;this;
7;325;;336;0;this;
8;325;;360;0;this;
9;325;;362;0;this;
10;325;;350;0;this;
11;325;;354;0;this;
12;325;;340;0;this;
13;325;;327;1;value;
14;325;343;344;1;value;
15;325;343;358;1;value;
16;325;;358;1;value;
17;325;;344;1;value;
18;325;325;325;2;this.node;
19;325;325;327;2;this.node;
20;325;;332;2;this.node;
21;325;;329;2;this.node;
22;325;325;327;2;this.node;
23;325;325;336;2;this.node;
24;325;;336;2;this.node;
25;325;;360;2;this.node;
26;325;;362;2;this.node;
27;325;;350;2;this.node;
28;325;;354;2;this.node;
29;325;;340;2;this.node;
30;327;328;328;3;string;
31;327;328;332;3;string;
32;327;328;329;3;string;
33;327;328;332;3;string;
34;327;;329;3;string;
35;336;;339;3;children;
36;338;;338;5;i;
37;338;338;339;5;i;
38;338;338;343;5;i;
39;338;;339;5;i;
40;338;;338;5;i;
41;344;345;345;5;valueNode;
42;344;345;347;5;valueNode;
43;344;;347;5;valueNode;
44;344;345;347;5;valueNode;
45;344;345;354;5;valueNode;
46;344;;354;5;valueNode;
47;347;348;349;3;children;
48;347;348;348;3;children;
49;347;;349;3;children;
50;348;348;349;6;i;
51;348;348;348;6;i;
52;348;;349;6;i;
53;348;;348;6;i;
54;348;348;349;6;i;
55;348;348;348;6;i;
56;348;;349;6;i;
57;348;;348;6;i;
58;358;359;359;5;string;
59;358;359;366;5;string;
60;358;359;360;5;string;
61;358;359;366;5;string;
62;358;;360;5;string;

Block Duas for method; setValue;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;7;0;this;
;325;325;325;0;this;
2;0;0;1;0;this;
;325;325;327;0;this;
3;0;;2;0;this;
;325;;332;0;this;
4;0;;6;0;this;
;325;;329;0;this;
5;0;7;1;0;this;
;325;325;327;0;this;
6;0;7;8;0;this;
;325;325;336;0;this;
7;0;;8;0;this;
;325;;336;0;this;
8;0;;13;0;this;
;325;;360;0;this;
;325;;362;0;this;
9;0;;19;0;this;
;325;;350;0;this;
10;0;;21;0;this;
;325;;354;0;this;
11;0;;22;0;this;
;325;;340;0;this;
12;0;;1;1;value;
;325;;327;1;value;
13;0;10;14;1;value;
;325;343;344;1;value;
14;0;10;11;1;value;
;325;343;358;1;value;
15;0;;11;1;value;
;325;;358;1;value;
16;0;;14;1;value;
;325;;344;1;value;
17;0;0;7;2;this.node;
;325;325;325;2;this.node;
18;0;0;1;2;this.node;
;325;325;327;2;this.node;
19;0;;2;2;this.node;
;325;;332;2;this.node;
20;0;;6;2;this.node;
;325;;329;2;this.node;
21;0;7;1;2;this.node;
;325;325;327;2;this.node;
22;0;7;8;2;this.node;
;325;325;336;2;this.node;
23;0;;8;2;this.node;
;325;;336;2;this.node;
24;0;;13;2;this.node;
;325;;360;2;this.node;
;325;;362;2;this.node;
25;0;;19;2;this.node;
;325;;350;2;this.node;
26;0;;21;2;this.node;
;325;;354;2;this.node;
27;0;;22;2;this.node;
;325;;340;2;this.node;
28;1;1;5;3;string;
;327;328;328;3;string;
29;1;1;2;3;string;
;327;328;332;3;string;
30;1;5;6;3;string;
;327;328;329;3;string;
31;1;5;2;3;string;
;327;328;332;3;string;
32;1;;6;3;string;
;327;;329;3;string;
33;8;;22;4;children;
;336;;339;3;children;
34;8;;9;5;i;
;338;;338;5;i;
35;9;9;22;5;i;
;338;338;339;5;i;
36;9;9;10;5;i;
;338;338;343;5;i;
37;9;;22;5;i;
;338;;339;5;i;
38;9;;9;5;i;
;338;;338;5;i;
39;14;14;20;6;valueNode;
;344;345;345;5;valueNode;
40;14;14;15;6;valueNode;
;344;345;347;5;valueNode;
41;14;;15;6;valueNode;
;344;;347;5;valueNode;
42;14;20;15;6;valueNode;
;344;345;347;5;valueNode;
43;14;20;21;6;valueNode;
;344;345;354;5;valueNode;
44;14;;21;6;valueNode;
;344;;354;5;valueNode;
45;15;16;19;4;children;
;347;348;349;3;children;
46;15;16;17;4;children;
;347;348;348;3;children;
47;15;;19;4;children;
;347;;349;3;children;
48;15;16;19;7;i;
;348;348;349;6;i;
49;15;16;17;7;i;
;348;348;348;6;i;
50;15;;19;7;i;
;348;;349;6;i;
;348;;348;6;i;
51;19;16;19;7;i;
;348;348;349;6;i;
52;19;16;17;7;i;
;348;348;348;6;i;
53;19;;19;7;i;
;348;;349;6;i;
;348;;348;6;i;
54;11;11;12;8;string;
;358;359;359;5;string;
55;11;11;4;8;string;
;358;359;366;5;string;
56;11;12;13;8;string;
;358;359;360;5;string;
57;11;12;4;8;string;
;358;359;366;5;string;
58;11;;13;8;string;
;358;;360;5;string;
