Number of Variables;13;
Variables:;
0;;this;
1;;content;
2;;line;
3;;this.m_RootElement;
4;;this.m_Self;
5;;DEFAULT_COMMENT;
6;;offset;
7;;startDelimiter;
8;;endDelimiter;
9;;delimiter;
10;;endLine;
11;;i;
12;;as;

Number of Block duas;50;
Line Duas for method; highlightLinesAfter;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;513;519;520;0;this;
2;513;519;524;0;this;
3;513;;540;0;this;
4;513;;543;0;this;
5;513;;544;0;this;
6;513;;548;0;this;
7;513;;520;0;this;
8;513;;521;0;this;
9;513;;548;1;content;
10;513;;529;1;content;
11;513;;525;1;content;
12;513;;520;1;content;
13;513;;521;1;content;
14;513;;542;2;line;
15;513;;540;4;this.m_RootElement;
16;513;;543;4;this.m_RootElement;
17;513;;544;12;this.m_Self;
18;513;547;548;14;DEFAULT_COMMENT;
19;513;547;542;14;DEFAULT_COMMENT;
20;513;534;535;3;offset;
21;513;534;540;3;offset;
22;513;;520;3;offset;
23;513;;521;3;offset;
24;517;524;525;5;startDelimiter;
25;517;524;528;5;startDelimiter;
26;517;;532;5;startDelimiter;
27;518;528;529;6;endDelimiter;
28;518;528;532;6;endDelimiter;
29;518;;532;6;endDelimiter;
30;520;524;525;5;startDelimiter;
31;520;524;528;5;startDelimiter;
32;520;;532;5;startDelimiter;
33;521;528;529;6;endDelimiter;
34;521;528;532;6;endDelimiter;
35;521;;532;6;endDelimiter;
36;525;;532;5;startDelimiter;
37;529;;532;6;endDelimiter;
38;532;534;535;7;delimiter;
39;532;534;540;7;delimiter;
40;532;;540;7;delimiter;
41;540;542;543;8;endLine;
42;540;542;551;8;endLine;
43;542;542;543;9;i;
44;542;542;551;9;i;
45;542;;543;9;i;
46;542;;542;9;i;
47;542;;548;9;i;
48;545;547;548;13;as;
49;545;547;542;13;as;
50;542;542;543;9;i;
51;542;542;551;9;i;
52;542;;543;9;i;
53;542;;542;9;i;
54;542;;548;9;i;

Block Duas for method; highlightLinesAfter;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;13;0;this;
;513;519;520;0;this;
2;0;0;1;0;this;
;513;519;524;0;this;
3;0;;4;0;this;
;513;;540;0;this;
4;0;;7;0;this;
;513;;543;0;this;
;513;;544;0;this;
5;0;;9;0;this;
;513;;548;0;this;
6;0;;13;0;this;
;513;;520;0;this;
;513;;521;0;this;
7;0;;9;1;content;
;513;;548;1;content;
8;0;;11;1;content;
;513;;529;1;content;
9;0;;12;1;content;
;513;;525;1;content;
10;0;;13;1;content;
;513;;520;1;content;
;513;;521;1;content;
11;0;;4;2;line;
;513;;542;2;line;
12;0;;4;3;this.m_RootElement;
;513;;540;4;this.m_RootElement;
13;0;;7;3;this.m_RootElement;
;513;;543;4;this.m_RootElement;
14;0;;7;4;this.m_Self;
;513;;544;12;this.m_Self;
15;0;7;9;5;DEFAULT_COMMENT;
;513;547;548;14;DEFAULT_COMMENT;
16;0;7;8;5;DEFAULT_COMMENT;
;513;547;542;14;DEFAULT_COMMENT;
17;0;3;10;6;offset;
;513;534;535;3;offset;
18;0;3;4;6;offset;
;513;534;540;3;offset;
19;0;;13;6;offset;
;513;;520;3;offset;
;513;;521;3;offset;
20;0;1;12;7;startDelimiter;
;517;524;525;5;startDelimiter;
21;0;1;2;7;startDelimiter;
;517;524;528;5;startDelimiter;
22;0;;3;7;startDelimiter;
;517;;532;5;startDelimiter;
23;0;2;11;8;endDelimiter;
;518;528;529;6;endDelimiter;
24;0;2;3;8;endDelimiter;
;518;528;532;6;endDelimiter;
25;0;;3;8;endDelimiter;
;518;;532;6;endDelimiter;
26;13;1;12;7;startDelimiter;
;520;524;525;5;startDelimiter;
27;13;1;2;7;startDelimiter;
;520;524;528;5;startDelimiter;
28;13;;3;7;startDelimiter;
;520;;532;5;startDelimiter;
29;13;2;11;8;endDelimiter;
;521;528;529;6;endDelimiter;
30;13;2;3;8;endDelimiter;
;521;528;532;6;endDelimiter;
31;13;;3;8;endDelimiter;
;521;;532;6;endDelimiter;
32;12;;3;7;startDelimiter;
;525;;532;5;startDelimiter;
33;11;;3;8;endDelimiter;
;529;;532;6;endDelimiter;
34;3;3;10;9;delimiter;
;532;534;535;7;delimiter;
35;3;3;4;9;delimiter;
;532;534;540;7;delimiter;
36;3;;4;9;delimiter;
;532;;540;7;delimiter;
37;4;5;7;10;endLine;
;540;542;543;8;endLine;
38;4;5;6;10;endLine;
;540;542;551;8;endLine;
39;4;5;7;11;i;
;542;542;543;9;i;
40;4;5;6;11;i;
;542;542;551;9;i;
41;4;;7;11;i;
;542;;543;9;i;
42;4;;8;11;i;
;542;;542;9;i;
43;4;;9;11;i;
;542;;548;9;i;
44;7;7;9;12;as;
;545;547;548;13;as;
45;7;7;8;12;as;
;545;547;542;13;as;
46;8;5;7;11;i;
;542;542;543;9;i;
47;8;5;6;11;i;
;542;542;551;9;i;
48;8;;7;11;i;
;542;;543;9;i;
49;8;;8;11;i;
;542;;542;9;i;
50;8;;9;11;i;
;542;;548;9;i;
