Number of Variables;3;
Variables:;
0;;logger;
1;;WARNING;
2;;trace;

Number of Block duas;8;
Line Duas for method; logCurrentThreadTrace;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;495;;511;1;logger;
2;495;;503;1;logger;
3;495;;511;2;WARNING;
4;495;;503;2;WARNING;
5;495;502;503;0;trace;
6;495;502;510;0;trace;
7;495;510;511;0;trace;
8;495;510;513;0;trace;

Block Duas for method; logCurrentThreadTrace;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;logger;
;495;;511;1;logger;
2;0;;4;0;logger;
;495;;503;1;logger;
3;0;;3;1;WARNING;
;495;;511;2;WARNING;
4;0;;4;1;WARNING;
;495;;503;2;WARNING;
5;0;0;4;2;trace;
;495;502;503;0;trace;
6;0;0;1;2;trace;
;495;502;510;0;trace;
7;0;1;3;2;trace;
;495;510;511;0;trace;
8;0;1;2;2;trace;
;495;510;513;0;trace;
